X,Y,id,initialdate,finaldate,area_ha,iso2,iso3,country,admlvl1,admlvl2,admlvl3,admlvl5,map_source,broadleaved_forest_percent,coniferous_forest_percent,mixed_forest_percent,sclerophillous_vegetation_percent,transitional_vegetation_percent,other_natural_percent,agriculture_percent,artificial_percent,other_percent,natura2k_percent,noneu,updated,area_code,eu_area
,,"18131",2019/03/21 00:00:00,2019/03/21 00:00:00+00,"119",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Larrau,modis/sentinel,13.9344262294968,0,0,0,86.0655737704213,0,0,0,0,3.90601269445124,"0",2022/03/02 11:51:40.501,EU,EU
,,"18161",2019/02/20 00:00:00,2019/02/20 00:00:00+00,"23",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Aramits,modis/sentinel,4.34782608693762,0,0,0,86.9565217387524,0,8.69565217387524,0,0,0.565798933263187,"0",2022/03/02 11:51:40.501,EU,EU
,,"18173",2019/02/26 00:00:00,2019/02/26 00:00:00+00,"71",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Jaxu,modis/sentinel,19.9999999999714,0,0,0,51.428571428498,0,28.5714285713878,0,0,11.9009383318098,"0",2022/03/02 11:51:40.501,EU,EU
,,"18192",2019/02/15 00:00:00,2019/02/15 00:00:00+00,"39",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Lacarre,modis/sentinel,7.69230769228797,0,0,0,92.3076923074556,0,0,0,0,0.0041263090150175,"0",2022/03/02 11:51:40.501,EU,EU
,,"18199",2019/04/01 00:00:00,2019/04/01 00:00:00+00,"25",FR,FRA,France,Occitanie,Midi-Pyrénées,Ariège,Arignac,modis/sentinel,11.999999999952,0,0,0,87.999999999648,0,0,0,0,0,"0",2022/03/02 11:51:40.501,EU,EU
,,"18234",2019/02/14 00:00:00,2019/02/18 00:00:00+00,"316",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Montory,modis/sentinel,11.3207547169776,0.314465408804933,0,0,83.3333333333071,0,5.03144654087892,0,0,0.609894719613775,"0",2022/03/02 11:51:40.501,EU,EU
,,"18238",2019/03/26 00:00:00,2019/03/26 00:00:00+00,"34",FR,FRA,France,Occitanie,Midi-Pyrénées,Ariège,Lordat,modis/sentinel,3.12499999999023,0,0,0,96.8749999996973,0,0,0,0,0,"0",2022/03/02 11:51:40.501,EU,EU
,,"18243",2019/02/22 00:00:00,2019/02/22 00:00:00+00,"42",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Aramits,modis/sentinel,23.8095238094671,0,0,0,76.1904761902948,0,0,0,0,1.59098712084203,"0",2022/03/02 11:51:40.501,EU,EU
,,"18246",2019/02/26 00:00:00,2019/02/26 00:00:00+00,"65",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Urepel,modis/sentinel,21.8749999999658,0,0,0,78.1249999998779,0,0,0,0,4.91922196810558,"0",2022/03/02 11:51:40.501,EU,EU
,,"18279",2019/02/22 00:00:00,2019/02/22 00:00:00+00,"55",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Saint-Michel,modis/sentinel,0,0,0,0,99.9999999998113,0,0,0,0,6.67457279988844,"0",2022/03/02 11:51:40.501,EU,EU
